week,day,distance,lane,session,goal,planned_duration_min,completed_duration_min,rpe,fuel_used_g,issues_to_fix
1,Mon,Sprint,Finish,Technique swim,Drills + sculls,45,,,,
1,Tue,Sprint,Finish,Key bike,Sweet spot progression,75,,,,
1,Tue,Sprint,Finish,Brick run,Easy form jog,20,,,,
1,Wed,Sprint,Finish,Key swim,CSS build,60,,,,
1,Thu,Sprint,Finish,Key run,Broken tempo,55,,,,
1,Fri,Sprint,Finish,Strength,Total body,40,,,,
1,Sat,Sprint,Finish,Long bike,Fuel practice,105,,,,
1,Sun,Sprint,Finish,Long run,Fast finish,60,,,,
1,Mon,70.3,Fast,Recovery swim,Form focus,60,,,,
1,Tue,70.3,Fast,Key bike,88% FTP intervals,90,,,,
1,Tue,70.3,Fast,Brick run,Steady,30,,,,
1,Wed,70.3,Fast,Key swim,CSS ladders,75,,,,
1,Thu,70.3,Fast,Key run,Tempo blocks,70,,,,
1,Fri,70.3,Fast,Strength,Mobility + lifts,45,,,,
1,Sat,70.3,Fast,Long bike,Nutrition rehearsal,150,,,,
1,Sun,70.3,Fast,Long run,Progression,90,,,,
